id	filename	md5	size	state
66b68bbb-d8db-4e8b-83b0-fb0e6692f2c4	0b0b8a85-b9eb-4318-ae1f-fb3cd003b610.rna_seq.augmented_star_gene_counts.tsv	220c6e0d8d92ca987507037d49bb3530	4245960	released
840009d3-beff-4c76-abda-73f93594b905	f6f29a60-bbc3-4d0a-bd76-0e9c313180a1.rna_seq.augmented_star_gene_counts.tsv	29fbb9d97ff13f90bade751b9acaf737	4244498	released
efbf11c6-bf20-461c-bc71-6e9480eb475c	cc3ccb82-a9fd-4ad9-ba71-3857d6104871.rna_seq.augmented_star_gene_counts.tsv	5f6ef2ed575dadbcdc19c349e190e774	4240593	released
5118d0b7-e431-4cc2-be2b-3906bd52c872	6d63029a-3fac-4dcb-beb6-303a0b88a04b.rna_seq.augmented_star_gene_counts.tsv	ce0fa13cba75384f722a39e4db619cdd	4238507	released
3941b835-c5e6-4000-b5b9-ad420d012062	93ee4243-f9c0-4946-be6c-5e0372109b23.rna_seq.augmented_star_gene_counts.tsv	c6bbb138d167e9c0493ce4abf8c9c944	4235527	released
6639be4a-2848-4775-afb7-f833d9b97fec	7579fa99-00d1-4eae-ba00-dc075b7e914d.rna_seq.augmented_star_gene_counts.tsv	c57538d35ef9d80dce83b14cd7eda2eb	4241566	released
e327eb0b-224f-473d-b6d8-b5a435a4669d	dfcad260-9990-47a1-afd6-7929c22e7e3d.rna_seq.augmented_star_gene_counts.tsv	587a488afb9b574587ce7d869075406e	4228393	released
aff1c7a4-ae90-446e-8e29-d6633e52cc01	68983237-d100-4148-9d5c-edb0fea2e01e.rna_seq.augmented_star_gene_counts.tsv	ac975fe7c912eb1e14e57f9e59c0e80e	4227563	released
01eec09c-7007-470f-b4ab-7ea329db082e	e8c97501-d59d-43c8-8b2b-6bb31635e929.rna_seq.augmented_star_gene_counts.tsv	d5d7c2f219bf235e64dd862784cdbef9	4226288	released
76fcefd9-cc17-4ab7-bbee-c4d5cd00b4ea	ebd379f8-3c0a-4bed-83a5-8682bddb098d.rna_seq.augmented_star_gene_counts.tsv	00803a7f92f15c26079acc8fd6071a89	4227941	released
95169edc-10da-4fad-9175-b0be431767f3	977eb6f8-97b0-4816-992e-ec02913930da.rna_seq.augmented_star_gene_counts.tsv	278a36dd81427e7fa70ad62349315806	4233028	released
d51b9b5a-0c65-41a5-942c-71441f514e64	843220fd-e535-472d-865d-4e3b67424479.rna_seq.augmented_star_gene_counts.tsv	ade37c3846b89be56cbf4cebeb5b63fa	4230243	released
b4c0eaa4-6627-45fe-b8c2-ba23bd263b1f	3e094db3-818a-46d2-acad-c1e3af8eea5c.rna_seq.augmented_star_gene_counts.tsv	8b2c182c88ea712f7859d86d7b678b1f	4231191	released
746d14a4-555a-4667-912a-9113b7c20aa9	23fbcb6a-5956-42ae-8a14-e43471d6201d.rna_seq.augmented_star_gene_counts.tsv	1d37690383d00b7c9952d9c11edb324b	4241379	released
403bb101-edc8-4ff5-a2e7-7cc6e24af938	ea638d23-a89d-44d2-b223-9fb9ceeaa606.rna_seq.augmented_star_gene_counts.tsv	f230e2ac9e453b3d380bd1b457cbe189	4226581	released
9c36befe-e64e-4102-80a9-60b81adb984b	7ca29e4e-12dc-49ef-acbd-c21b8c991a60.rna_seq.augmented_star_gene_counts.tsv	16dc76a2c37cb98fa4bb113551496db7	4256046	released
2d3ea933-39f2-45d9-8811-f600660d8bea	c1768141-9d4a-447d-ba29-c0cdc82304cd.rna_seq.augmented_star_gene_counts.tsv	012c312753072eb213e76b65fe16b09e	4250238	released
3f54db55-8f97-4338-b406-737858b5d9bf	df254df9-c7a9-40f7-922e-92c121cf1963.rna_seq.augmented_star_gene_counts.tsv	3e8d6ac4cdb4bf047a8e3c6e0d86a455	4229143	released
833feb55-db89-4bdd-b23b-8ef0c325c3c1	2b3c2118-b073-4607-895b-eaee36bbd9cf.rna_seq.augmented_star_gene_counts.tsv	dae1cef276c98d80827f3bb2fc86faf0	4213138	released
4f284142-9418-4dac-a237-e36576403b7d	ef8ab2a3-cc2d-4658-b8fd-394b26c6da0d.rna_seq.augmented_star_gene_counts.tsv	29902219caa7f7f77765f5b6dd8a4d54	4218421	released
acf8fce1-2afa-43b2-852e-a5bb5e21efb1	0c509be0-de28-49bf-a5b8-f470ab4abfb2.rna_seq.augmented_star_gene_counts.tsv	25064395ff893c596e4aa01a1c09bab8	4223374	released
